" CCR7"	" FoxP3"	" CXCR5"	" TCF1"	" CD226"	"TIGIT"	" Tox"	" Tim3"	" CD127"	" CD8"	" CD28"	" dump"	" IgG4"	" CD39"	" CD3"	" CTLA-4"	" Ki67"	" Eomes"	" T-bet"	" PD1"	" CD27"	"CD45RA"	" CD38"	" CD4"	" CD73"
"6"	3.67224682385258	0.954335123651492	2.80857785771839	6.40285756694512	6.41056988467992	4.37089092500955	4.24732531712287	3.78112940636623	5.22616616874311	6.90712089274119	6.89081054522924	4.20416304017966	3.96876218170229	5.66663716443934	7.39133167885051	4.84171143796035	5.86979763043214	4.4009666153384	4.87635866769811	3.75707339419238	5.96140444246536	5.6574064752336	3.89702711117239	4.72841447989113	6.50868622891698
"4"	3.80851643942085	0.294361933103143	2.85916861354511	6.42083954658371	6.38266938446637	4.35764060455062	4.15767077922504	3.74587998302466	5.23502782821328	6.99205945367933	6.65896347804252	4.17202381894261	3.88813721588669	5.61297521086259	7.1009811783123	4.84768787320739	5.83556312635896	4.29558224519504	4.80097721865073	3.90384377802118	5.89253295503577	6.40157353034758	3.99977281153331	4.4151356575486	6.178345917072
"7"	3.14169081280476	0.742135909319736	2.57278552005044	6.4226185608331	6.46598349990915	4.57598444635367	4.28144468800083	3.8382204615061	5.35424274371277	7.04904415385788	6.83502509053984	4.12123866924999	3.96099610343866	5.71339590696873	7.80263695405571	4.8573988864312	6.04085438535455	4.50056967997975	4.82939416231329	3.98990082308664	6.2338098625058	5.82292308488724	3.83024644159938	4.6435327981164	6.40042684297278
"8"	2.57196206714299	1.42667557975732	2.66911669086412	6.38247970715429	6.29800244717879	4.45539618392666	4.1712410297375	3.7612892506133	5.21101348390974	6.7943135154229	6.66935814065607	4.05231609921561	3.87123616032342	5.52632015618275	7.55761064796147	4.80384653279699	5.87355617973527	4.49465887741056	4.79822023357904	3.80748126137192	6.06884496167458	5.90043350127191	3.59687883935355	4.27884275070146	6.11245595644854
"1"	5.23073533689671	2.84103126380972	6.47165522571399	3.75840506508062	4.13548123432568	2.2139925617751	2.4194712076815	1.43705703251088	2.76806375542626	1.74426169373242	6.70164521229461	5.1926680407012	3.91798875816286	5.9732096948548	6.43698135948341	3.91698485974928	4.95794325934509	4.34610564635363	4.41227082454525	3.2457787470045	3.75220760767511	7.86865262785169	5.59240532060421	4.89049904804812	6.7690360246755
"2"	2.21975496972179	0.172913372590242	2.01943333067904	6.32761162319845	6.37704149335685	4.49926245639869	4.14036513639339	3.74537503333275	5.30610709718894	6.93223719588539	6.68868999254603	4.09452617485853	3.92347255772017	5.60776492822441	7.68090234730918	4.81441823675871	6.07429744640277	4.55137034176244	4.79399082407384	4.00538974948372	6.36763018009424	7.12421834652055	3.70082531789559	4.28779330036603	6.15351137140486
"13"	2.45311648062443	1.59870526836748	1.89404086785972	6.28047932018749	6.3576687860995	4.61866508995065	4.08557350774748	3.57806847623161	5.25679451277087	6.97371913757212	6.36484974553389	4.11019935307988	3.88164616467359	5.59752636127772	7.95227726872028	4.76876471712379	6.04910659267021	4.76001799463559	4.89779492177216	4.18802733722251	6.4020001628261	6.16582149462135	3.56307260103453	3.65128418490979	5.25759853027686
"12"	1.88167601824008	1.51319068953057	1.69323569268669	6.24050906786795	6.28503739289685	4.49028094559869	4.00979474369541	3.53968727927325	5.18577179331327	6.90743559018603	6.12568297048731	3.98630382717256	3.77425704666772	5.49413706383547	7.63625362298296	4.73991346284404	5.96613720465498	4.74894976563315	4.83569617316333	4.07936571008902	6.32884276314879	6.10163671924792	3.50868035865023	3.26736237596558	4.68350314094365
"11"	2.4176809150431	2.10914965645302	2.10361621807253	6.24127271245376	6.22018892227018	4.39413207506038	4.08019403605188	3.53165701695323	5.20585114961688	6.92759237631742	6.10883714660046	3.974905006946	3.72539567756345	5.44567859561671	7.41526013128228	4.74052593967468	5.907699626761	4.51603175825299	4.74046119055817	4.03748149054131	6.25258881973483	5.96515656951894	3.5171591649153	3.39216840740946	4.69488244099504
"3"	0.147368542532318	2.54142624003717	1.47121394668978	6.20460666735816	6.06875759762736	4.34767630913559	3.70863561433724	3.24948777249047	5.09344060490804	6.79215098280668	6.03399501593697	3.88266141667132	3.75275534520543	5.42621925142964	7.36232795263962	4.75980576767154	5.8891932533147	4.76935535741591	4.80611173401051	4.01177016811489	6.32133643378544	7.65058036275175	3.25171022673339	3.25220895746641	4.80347440968599
"5"	3.62328346583911	0.20692440294713	2.54328326694506	6.28798549876313	6.38216681122849	4.48325834919416	4.05141623903953	3.65013026650253	5.2066296515363	7.08786773672197	5.97806798894173	4.01339729186934	3.77020543428417	5.59002310046742	6.94780696169861	4.76546405362422	5.82634530999315	4.39635045291786	4.74860690979616	4.17669269182832	5.96102741887957	5.86121593768324	4.00635160988204	3.10664696730238	2.46526015871366
"9"	3.26851482034918	1.40679931843457	3.24789035176777	6.47609711393883	6.25963652383441	4.48780789971913	4.10171840098482	3.64619379588228	5.12058845199528	6.88276001821238	6.43544760241609	4.05580068042777	3.83233798366712	5.47568371723965	7.22303818232686	4.88992444343869	5.76210064352382	4.26621511024503	4.50555643665376	3.80930855818554	5.6429796736823	5.09803684163124	3.80845974180767	3.22416956475348	4.39940975167348
"10"	3.3197010094556	2.40269208278112	3.46279453426793	6.38265837790043	6.07579609060499	4.39458717277989	4.02903023802207	3.49510409177193	4.99809329584201	6.70197467198168	6.12696620080194	3.97138840181198	3.7159212014654	5.28040726261347	6.91700560587632	4.8356884185852	5.52127149930884	4.26235261439234	4.39594620977028	3.69955235478514	4.72473168306917	4.91479771042328	3.57946119525287	1.81560296653581	2.98944699380506
"15"	3.63232998461006	2.14182359554998	2.51175225099517	6.39440625539621	6.2181129633795	4.59188598671786	3.9829744183194	3.61066651295254	5.09073760552126	6.75754727236369	6.44832541042991	3.93308107991179	3.78935446225565	5.33792812756725	7.6854749438606	4.91825854779042	6.03014068537698	4.41482805935726	4.2524514494745	3.84889220660673	6.44567198720121	5.13614610948183	3.35290402591241	0.892900482325476	1.62242752677476
"16"	2.8387668957199	1.29128336955189	2.91145339466428	6.36352976198213	6.22940283548985	4.4955178485992	4.07308372764655	3.62596208681624	5.05999616523604	6.75499343327904	6.48469745387273	4.01294258497521	3.79005940997792	5.42839130719352	7.45558193581212	4.88143266512398	6.00502792756959	4.39714894591639	4.22556634452838	3.8053787380556	6.32228323879108	4.99867987688154	3.52190618877751	2.11881251856835	0.780307621133654
"14"	0.220803379940083	2.83324834044541	2.34205679693438	6.17051539431766	6.0755175777195	4.30459311836085	3.88421594023048	3.45466544288558	4.80560407828523	6.47252184260702	6.06202081148593	3.86447393980786	3.70847619319356	5.2468504537941	7.20949478804669	4.77563991315196	5.84014278080594	4.42874962971962	4.31994217280636	3.67380117093129	6.105797954924	5.03844501226101	3.06046803856905	1.96490104937802	0.899487848551718
"17"	2.99964305883089	2.36336590133724	3.53110091172009	6.32596326314978	6.20282751918708	4.60802648265651	3.99295397279881	3.62762478584583	4.92766952287667	6.50454941815882	6.65227628965872	4.08467977926504	3.84245284721027	5.47056359549772	7.94079312955488	4.90318973199981	5.92120881426093	4.53029877048831	4.30858339362782	3.58885958118716	5.95997981682873	5.09934508457879	2.81874805478294	0.0207178797511725	2.58408338668474
"20"	3.21220021052116	2.72930709875926	3.36672359431705	6.29788310098416	6.09276350262292	4.43364959409301	3.94622516293206	3.57346452111208	4.81803488386187	6.27880639825036	6.44990018835316	3.97170868135418	3.74753646183947	5.27848846916473	7.66128774774565	4.87703167502655	5.78218025262192	4.42560185592316	4.19912711789783	3.4371936581096	5.75959692735483	4.80723027738897	2.70675469331244	0.946864939994061	2.7538312756022
"18"	1.30015508939275	2.60457761337339	3.56072860721901	6.38826514566964	6.07593176553354	4.42594500247812	3.98797553152356	3.54102949471689	4.8951544452856	6.45246816377831	6.40926239561672	4.01211930083204	3.72197145473148	5.32631353243434	7.40848098034139	4.9027806221541	5.63475318117527	4.32505662721636	4.30350203395004	3.48834784333828	5.09557407391402	4.78506043754907	3.25709447804329	0.619622567407651	2.96783955346614
