" TCF1"	" CD226"	" CD127"	" Ki67"	" CTLA-4"	"TIGIT"	" Tox"	" Tim3"	" CD3"	" CD8"	" PD1"	" T-bet"	" Eomes"	" IgG4"	" CD39"	" dump"	" CD28"	" FoxP3"	" CD27"	"CD45RA"	" CD4"	" CXCR5"	" CD38"	" CCR7"	" CD73"
"6"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.655921430894014	0.5	0.5	0.63212193680408	0.5	0.5	0.5	0.5	0.68294693701019	0.5	1.51229482632881	0.836990751046453	1.04105195834453	0.54987145608296	0.765972958723123	0.604633775699497	1.21079041597589	0.5
"3"	0.5	0.5	0.5	0.5	0.5	0.5	0.556912202134916	0.671319226188243	0.5	0.5	0.52083064645996	0.532796790959416	0.612960066021371	0.5	0.5	0.706023936189166	0.5	1.45786249494671	0.773735491970189	0.864758568425983	0.603252598619426	1.14068281083133	0.765199584332557	2.87264859924658	0.56120469939922
"14"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.685131055785985	0.5	0.5	0.571107019979225	0.571396600092945	0.568801806899833	0.5	0.5	0.709593038903182	0.5	1.50501433553868	1.02088984680747	0.9740207450042	0.803036853442659	0.785420454525551	0.614408152263502	0.944407395561704	0.699432980860418
"19"	1.77608559442623	1.01012551437325	1.42583666636609	0.86588441570444	0.593656493426753	1.41799398218323	0.860724585614429	0.952328499714586	0.5	0.767987634217932	0.844146629682078	0.523330483227712	0.5	0.5	0.717939093352156	0.686068754788178	0.5	1.39600687121722	1.28461730305997	0.5	0.8798004263221	0.5	0.936827455123186	0.843391522495686	0.539154955356399
"10"	0.5	0.5	0.5	0.5	0.5	0.542901815569949	0.535217355719783	0.795270111348047	0.5	0.5	0.566097471151833	0.695748151219229	0.726375419799347	0.5	0.5	0.800910991468091	0.55564804950041	1.6326672568298	0.547166847710925	0.98885681126057	1.2742462354619	0.985747885969535	0.877212858858793	2.63697011953813	1.37764311195188
"12"	0.5	0.5	0.524054831649444	0.5	0.5	0.530716475241462	0.645815234206548	0.807156572786081	0.5	0.5	0.534529484734735	0.626998007769538	0.772286885104364	0.5	0.5	0.766281039588393	0.746951938820859	1.48344520011208	0.734152280742051	0.602023095282348	1.34017091088487	0.955597124980684	1.02287459922288	2.5702346490847	2.31165672683191
"2"	0.5	0.5	0.585364793068981	0.5	0.5	0.5	0.595115660135615	0.894000856639008	0.5	0.5	0.686909250276239	0.881371449728614	0.986160407288049	0.5	0.614870354337586	0.810135666288369	0.601266235619134	1.47871030471703	0.675219524180214	0.96099113102389	1.6659190789402	1.21892918870799	1.59777363022282	3.31242991738879	3.35145495470429
"5"	0.5	0.5	0.539380273299703	0.5	0.5	0.5	0.625178905981457	0.764772296713464	0.5	0.5	0.573746509685917	0.880074046859562	0.771176542648942	0.524050137958839	0.500084623884969	0.722423933500462	0.5	1.57983182329081	0.57348635456378	0.997768915974898	1.95790124480513	1.04205074084228	1.2861650271824	2.78634289555412	3.3999701668963
"9"	0.5	0.5	0.5	0.5	0.5	0.5	0.561683609643639	0.819781203014242	0.5	0.5	0.505322699400216	0.827511051513936	0.737763088612261	0.5	0.5	0.795284435223205	0.537266634611201	1.59620777491992	0.5	0.714773847456035	1.4624923970338	1.01050803757436	1.06900064719656	2.54320401885197	3.23249426671533
"17"	0.5	0.5	0.5	0.5	0.5	0.5	0.507696294687492	0.717414944312261	0.5	0.5	0.532123083714172	0.741494907873995	0.503580838925351	0.5	0.5	0.772499638613305	0.537047832889663	1.45795335388631	3.91369202575143	0.749417921635258	1.4679298553289	0.924471928256525	0.534170043161658	1.14116590946414	1.95567185904631
