" CD73"	" CD4"	" CXCR5"	" TCF1"	" CD226"	"TIGIT"	" Tox"	" CD127"	" Tim3"	" CD8"	" CD27"	" CTLA-4"	" Ki67"	" CD3"	" Eomes"	" IgG4"	" T-bet"	" PD1"	" CD39"	" CD28"	" dump"	"CD45RA"	" CD38"	" FoxP3"	" CCR7"
"18"	6.0700117709975	4.36417378598577	2.85033740581144	6.44466906567131	6.41573044505598	4.43845691832331	4.22715805956194	5.26837269675898	3.77593745504057	6.97189677342187	5.92277395108468	4.82686395420706	5.86259723867127	7.42913041665145	4.34040071792709	3.89672337208851	4.80767490569343	3.93790715622504	5.68309286681502	6.66626977838455	4.08830802774602	5.83346767559352	3.94426156967223	2.6866831607324	3.77285588827218
"16"	5.89412641716945	4.19898267229048	2.97243319321187	6.34662923444207	6.28351765765358	4.37386296937847	4.1755158557089	5.20183248573315	3.51571747871689	6.88277854186462	5.76934341218728	4.8250698777397	5.81672001905738	7.41948979016835	4.46035995622633	3.90274392392813	4.80704236151064	3.89841595582709	5.51008931617613	6.55282559782542	4.19724792759579	5.78384853745364	3.76245943404063	2.91947511836966	3.71642919359883
"17"	5.93812669277675	4.29069607230197	1.88190710279796	6.29658976668186	6.42665582333611	4.46874019725112	3.95044821706741	5.07358264638002	3.770770279523	6.9573689888981	6.39099560700323	4.75980782482466	6.0185738688651	7.48020739991674	4.43871278477248	3.81884556934151	4.89732226341896	4.10468076230727	5.65555197186298	6.43278660451565	4.03142177884872	5.8922750743441	3.83907090599033	0.839608797579746	3.51141450286837
"8"	5.73088227637754	3.97495267534607	2.33975531991576	6.2473856642896	6.34535111307881	4.46398983455535	3.96100220632605	5.1007116622489	3.97885400549651	6.84484462363449	6.60743207538034	4.79160097769706	6.12736232188694	7.59008832997801	4.6789417999707	3.75252323419489	4.66941648430959	3.93318641040752	5.53087876478962	6.38037255280401	3.88458480626189	6.03948651257018	3.62041302403273	0.750330464585529	3.90377176606908
"14"	5.49175620968893	3.86540433951862	2.64506015269089	6.3981118470342	6.31887164006799	4.46919663389891	4.14182530208507	5.13520560230458	3.8184143892257	6.82425903664789	6.21781900631052	4.8144464243137	5.96789447669208	7.54706842574894	4.41957680410871	3.83605946983502	4.57849267238837	3.76795364883036	5.59419852925269	6.63611869195363	3.93994270665542	5.44196109550624	3.59039407576577	2.76161470889963	3.40322065691424
"10"	5.29494467361184	3.6467367245699	2.6988089993463	6.27449914874779	6.18160249866937	4.41533764211997	4.01039259861759	5.06012896849271	3.62578728814072	6.69530082228849	6.14809873481862	4.86083367235145	5.95144415934009	7.53992523952727	4.54955427278513	3.81191111238098	4.51311249273391	3.68328557102861	5.37529362082428	6.52548016421534	4.08914182026021	5.49481337850047	3.47685407122589	2.94081298195435	3.51784192023566
"7"	5.3329810416857	3.98967312779821	2.61118543710377	6.1930187597935	6.20328308817969	4.4956607224903	4.2544495094763	5.33929168283252	3.34646005054229	6.81087454455	6.01607402402236	4.61423966813856	5.80458943357459	7.62443133317667	4.70499033801056	3.89288068405169	4.84933196238477	3.94820130926774	5.49852898076533	6.35357429111004	4.09426659147553	5.63034162140317	3.2830235839332	1.85391268189059	3.06670047885064
"5"	6.76017286220508	4.87082202613666	6.50505580928628	3.64475667373599	4.01712431476217	2.42818526556111	2.29205992959134	2.49081057687958	1.04393061275021	1.50605257542589	3.68413785525003	3.85303987568293	4.91230684721859	6.40879060281313	4.32805474668648	3.9034974247206	4.36501759037862	3.21232605337045	6.00549341735377	6.68879738265313	5.23907489284923	7.89944405810278	5.66726619231466	2.90944830741576	5.28459458367197
"20"	2.98751365786101	3.21963017686406	2.77549495191322	6.28692846648828	6.19675445458902	4.42384015525296	4.10102179133442	5.19246426352785	3.28866240814545	6.83660679514232	6.15017669161577	4.7802377256311	5.93020643385564	7.35217404772724	4.55022355411819	3.86142350706976	4.41578998693761	4.03688195033971	5.45169124727719	6.23884633752016	4.17553522538473	5.54417006327736	3.56835745418179	2.41774404270829	3.50627323755021
"9"	3.17350010299601	5.9541090353213	3.59291026428612	6.39242700375636	6.08742158967137	4.51191382254882	3.98894119625602	4.92961874036955	3.60108673812083	6.56023001571444	6.07205173605661	4.97419954170412	5.9034038431453	7.55795806443081	4.31383922057043	3.8136282767751	4.14253985984895	3.52275289535449	5.15641743972725	6.10267619353321	4.04181235335432	4.88398632492395	3.3624309688676	3.17643994097951	3.51852537822035
